properties_coddep,properties_codtypbien,properties_anneemut,properties_valeurfonc,properties_sterr,properties_sbati,id
03,21,2023,5942566.0,493324.0,0.0,105
03,101,2015,175000.0,916.0,0.0,1
03,101,2019,3156339.95,2434.0,0.0,5
03,101,2020,2536766.38,3278.0,0.0,3
03,101,2022,407398.0,2003.0,0.0,1
03,101,2023,1047769.0,3565.0,0.0,3
03,102,2014,28001.0,151.0,87.0,2
03,102,2015,31000.0,50.0,0.0,1
03,102,2017,463050.0,2110.0,680.0,6
03,102,2018,95000.0,0.0,0.0,1
03,102,2019,100620.0,455.0,273.0,3
03,102,2020,92000.0,163.0,160.0,2
03,102,2021,475600.0,2632.0,200.0,3
03,102,2022,190320.0,321.0,226.0,4
03,102,2023,4940304.0,1271505.0,1422.0,4
03,110,2017,23000.0,866.0,8.0,1
03,111,2014,86781804.33,9288368.0,81339.0,853
03,111,2015,95335161.31,10700988.0,91848.0,958
03,111,2016,97135596.5,7781751.0,94078.0,982
03,111,2017,107674414.65,8383140.0,105461.0,1071
03,111,2018,109022701.5,8163529.0,102950.0,1042
03,111,2019,118522286.14,9496885.0,111446.0,1166
03,111,2020,139592212.53,12174574.0,124543.0,1245
03,111,2021,169836387.51,11424351.0,148402.0,1491
03,111,2022,167070084.02,11772060.0,137951.0,1395
03,111,2023,135236223.25,10162064.0,111212.0,1153
03,112,2014,8060443.08,4078350.0,12364.0,58
03,112,2015,6060315.0,1639438.0,7029.0,43
03,112,2016,6456805.45,943959.0,8707.0,53
03,112,2017,8848260.0,1779376.0,10505.0,50
03,112,2018,6725577.0,1912250.0,9469.0,56
03,112,2019,10411768.97,2354464.0,15061.0,73
03,112,2020,10250518.08,1759251.0,12661.0,65
03,112,2021,13370123.0,715231.0,18415.0,94
03,112,2022,12389692.0,2179355.0,15684.0,84
03,112,2023,10889569.74,1930945.0,12081.0,67
03,120,2014,886000.0,11806.0,2138.0,10
03,120,2015,562600.0,4916.0,1303.0,8
03,120,2016,846203.34,10502.0,2257.0,8
03,120,2017,1502850.0,9552.0,2486.0,11
03,120,2018,2444825.0,34182.0,3823.0,19
03,120,2019,2607424.0,19055.0,4541.0,20
03,120,2020,2138700.0,10541.0,4065.0,17
03,120,2021,1793801.2,23058.0,4933.0,18
03,120,2022,2497958.0,92141.0,3993.0,18
03,120,2023,2467700.0,12169.0,5033.0,23
03,121,2014,1172301.0,14697.0,1871.0,24
03,121,2015,1442860.0,2088.0,2001.0,31
03,121,2016,980100.0,750.0,1300.0,21
03,121,2017,2189200.0,16964.0,2604.0,37
03,121,2018,1308160.0,98517.0,1566.0,26
03,121,2019,2215306.3,2183.0,2615.0,37
03,121,2020,2360559.0,2338.0,3120.0,49
03,121,2021,2748385.0,6052.0,3739.0,53
03,121,2022,3438665.0,7764.0,3851.0,65
03,121,2023,2375175.0,1335.0,3098.0,50
03,122,2014,1294800.0,28536.0,2365.0,20
03,122,2015,512000.0,16177.0,1237.0,11
03,122,2016,2019560.0,51831.0,2984.0,22
03,122,2017,1483050.0,21155.0,3061.0,21
03,122,2018,913750.0,7604.0,3009.0,15
03,122,2019,2268977.2199999997,119284.0,4110.0,29
03,122,2020,2603090.0,102250.0,4014.0,30
03,122,2021,3119260.0,47671.0,4979.0,36
